customer_state,total_pedidos,media_dias_transito,pedidos_com_atraso,taxa_atraso_perc
AC,92,16.9,3,3.26
AL,448,20.4,90,20.09
AM,166,23.0,5,3.01
AP,82,24.1,3,3.66
BA,3819,15.4,442,11.57
CE,1483,17.2,195,13.15
DF,2433,9.2,141,5.8
ES,2269,11.8,239,10.53
GO,2353,11.8,144,6.12
MA,829,17.3,144,17.37
MG,13209,8.3,568,4.3
MS,831,11.9,73,8.78
MT,1058,14.3,63,5.95
PA,1087,19.9,119,10.95
PB,603,16.4,63,10.45
PE,1818,14.5,159,8.75
PI,543,15.7,71,13.08
PR,5764,8.2,220,3.82
RJ,14668,11.3,1653,11.27
RN,531,15.2,47,8.85
RO,278,16.5,11,3.96
RR,52,24.2,5,9.62
RS,6287,11.4,362,5.76
SC,4191,11.1,337,8.04
SE,385,17.3,61,15.84
SP,47720,5.1,2046,4.29
TO,315,13.6,30,9.52
