seller_id,total_vendas,pedidos_atrasados,media_nota_cliente,taxa_atraso_perc
54965bbe3e4f07ae045b90b0b8541f52,86,26,2.94,30.23
2a1348e9addc1af5aaa619b1a3679d6b,55,15,3.0,27.27
bbad7e518d7af88a0897397ffdca1979,85,19,3.04,22.35
beadbee30901a7f61d031b6b686095ad,68,15,3.94,22.06
6039e27294dc75811c0d8a39069f52c0,76,16,3.84,21.05
a49928bcdf77c55c6d6e05e09a9b4ca5,106,22,2.95,20.75
2a261b5b644fa05f4f2700eb93544f2c,83,17,3.34,20.48
712e6ed8aa4aa1fa65dab41fed5737e4,88,17,3.46,19.32
ea566164622c6b439516ab18062c42cd,52,10,3.75,19.23
06a2c3af7b3aee5d69171b0e14f0ee87,406,78,4.0,19.21
0d85bbda9889ce1f7e63778d24f346eb,58,11,4.21,18.97
602044f2c16190c2c6e45eb35c2e21cb,60,11,2.93,18.33
cac4c8e7b1ca6252d8f20b2fc1a2e4af,84,15,3.52,17.86
cd68562d3f44870c08922d380acae552,132,23,3.84,17.42
99a54764c341d5dc80b4a8fac4eba3fb,67,11,3.47,16.42
2c9e548be18521d1c43cde1c582c6de8,174,28,3.92,16.09
56642bcb79900e777d68e91915cb4267,56,9,3.77,16.07
002100f778ceb8431b7a1020ff7ab48f,56,9,3.98,16.07
d20b021d3efdf267a402c402a48ea64b,107,17,3.65,15.89
88460e8ebdecbfecb5f9601833981930,311,49,3.35,15.76
e5a3438891c0bfdb9394643f95273d8e,257,40,3.81,15.56
11bfa66332777660bd0640ee84d47006,103,16,3.78,15.53
8160255418d5aaa7dbdc9f4c64ebda44,434,64,3.84,14.75
b561927807645834b59ef0d16ba55a24,95,14,4.34,14.74
6973a06f484aacf400ece213dbf3d946,117,17,3.53,14.53
0bf0150d5b9d60d9cd2906003332f085,62,9,3.71,14.52
05f51e13da97139648b8125c31e5f51b,63,9,4.1,14.29
e62b2d6ac10570a035a30bafcf01d263,71,10,3.83,14.08
b17b679f4f5ce2e03ce6968c62648246,57,8,3.61,14.04
432c37c9dfba871172ec162e20118b8c,57,8,4.18,14.04
1ca7077d890b907f89be8c954a02686a,137,19,2.2,13.87
900ba814c251a692506d7834c1218441,88,12,4.19,13.64
431af27f296bc6519d890aa5a05fdb11,126,17,3.78,13.49
8b9d6eec4a7eb7d0f9d579ce0b38324d,53,7,4.06,13.21
adbc26658d6c7b4b6219f9d934598091,92,12,4.05,13.04
f7ba60f8c3f99e7ee4042fdef03b70c4,232,30,4.21,12.93
440dd6ab244315c632130ecfb63827b1,95,12,3.85,12.63
8b28d096634035667e8263d57ba3368c,155,19,3.86,12.26
891071be6ba827b591264c90c2ae8a63,99,12,3.72,12.12
7e1fb0a3ebfb01ffb3a7dae98bf3238d,174,21,4.13,12.07
8f2ce03f928b567e3d56181ae20ae952,175,21,4.06,12.0
1eade46fba20122dc4aefb379f8c636b,75,9,4.31,12.0
855668e0971d4dfd7bef1b6a4133b41b,329,39,3.73,11.85
643214e62b870443ccbe55ab29a4dccf,68,8,4.43,11.76
048c2757535328e0d7dac690ad3c0aae,51,6,4.18,11.76
2e90cb1677d35cfe24eef47d441b7c87,137,16,4.04,11.68
7aa4334be125fcdd2ba64b3180029f14,240,28,4.05,11.67
903037660cf848a717166eb7a06d616e,60,7,3.77,11.67
ba143b05f0110f0dc71ad71b4466ce92,86,10,4.42,11.63
b33e7c55446eabf8fe1a42d037ac7d6d,155,18,4.15,11.61
b1fc4f64df5a0e8b6913ab38803c57a9,121,14,3.78,11.57
0b35c634521043bf4b47e21547b99ab5,78,9,3.49,11.54
a6fe7de3d16f6149ffe280349a8535a0,52,6,4.0,11.54
34056b8b55c1775a22af2331670a799c,78,9,4.0,11.54
fffd5413c0700ac820c7069d66d98c89,61,7,3.87,11.48
7ad32824caee82087b3e2e5f33b1bf32,184,21,3.77,11.41
c31eff8334d6b3047ed34bebd4d62c36,123,14,3.85,11.38
972d0f9cf61b499a4812cf0bfa3ad3c4,88,10,2.96,11.36
318f287a62ab7ac10b703ac37435a231,62,7,3.87,11.29
59b22a78efb79a4797979612b885db36,133,15,3.97,11.28
dd7ddc04e1b6c2c614352b383efe2d36,143,16,3.76,11.19
b2479f944e1b90cf8a5de1bbfde284d6,134,15,3.29,11.19
b499c00f28f4b7069ff6550af8c1348a,188,21,4.14,11.17
75d34ebb1bd0bd7dde40dd507b8169c3,72,8,3.82,11.11
7d13fca15225358621be4086e1eb0964,578,64,4.0,11.07
2eb70248d66e0e3ef83659f71b244378,213,23,2.71,10.8
6fd52c528dcb38be2eea044946b811f8,84,9,3.5,10.71
056b4ada5bbc2c50cc7842547dda6b51,66,7,4.12,10.61
897060da8b9a21f655304d50fd935913,434,46,3.4,10.6
f3da5b2ff499efb8d4a6d371d175d7dd,85,9,3.83,10.59
fd386aa7bed2af3c7035c65506c9b4a3,76,8,4.36,10.53
a416b6a846a11724393025641d4edd5e,181,19,4.16,10.5
4869f7a5dfa277a7dca6462dcf3b52b2,1156,121,4.12,10.47
50c9975695009e5e6473912e83a6d1da,68,7,3.99,10.29
5058e8c1e82653974541e83690655b4a,78,8,3.08,10.26
3db66a856d18a9cba7c9241fc5221c50,99,10,4.17,10.1
8444e55c1f13cd5c179851e5ca5ebd00,109,11,3.07,10.09
a673821011d0cec28146ea42f5ab767f,149,15,3.89,10.07
99eaacc9e6046db1c82b163c5f84869f,70,7,3.9,10.0
3df020b72d3d44b3af9d110fa3940b65,101,10,3.95,9.9
f46490624488d3ff7ce78613913a7711,91,9,3.46,9.89
42b729f859728f5079499127a9c2ef37,132,13,4.35,9.85
20cb7c2fde3e5bf10f0bbe7394e1c6a9,51,5,3.84,9.8
527801b552d0077ffd170872eb49683b,92,9,4.48,9.78
8e6d7754bc7e0f22c96d255ebda59eba,133,13,3.02,9.77
06579cb253ecd5a3a12a9e6eb6bf8f47,72,7,3.76,9.72
c3867b4666c7d76867627c2f7fb22e21,261,25,3.85,9.58
4a3ca9315b744ce9f8e9374361493884,2009,191,3.8,9.51
4e17c65a516f69d023a2ae78b84f28d6,74,7,4.08,9.46
e9d99831abad74458942f21e16f33f92,149,14,3.91,9.4
165fc07beebdcb6190fba8a06db2a449,64,6,3.69,9.38
f0b47fbbc6dee9aafe415a6e33051b3f,86,8,4.23,9.3
e9bc59e7b60fc3063eb2290deda4cced,269,25,3.94,9.29
b18dc380845b24038cfc48006478f099,54,5,3.92,9.26
70a12e78e608ac31179aea7f8422044b,328,30,3.77,9.15
a888faf2d1baececa6baf9c3d603ee1f,55,5,4.05,9.09
f84a00e60c73a49e7e851c9bdca3a5bb,99,9,3.67,9.09
fa1c13f2614d7b5c4749cbc52fecda94,586,53,4.34,9.04
5343d0649eca2a983820bfe93fc4d17e,111,10,3.61,9.01
23d7c96d4a1160db1c726b248601b25a,56,5,3.81,8.93
634964b17796e64304cadf1ad3050fb7,326,29,3.86,8.9
0dd184061fb0eaa7ca37932c68ab91c5,193,17,3.95,8.81
4e922959ae960d389249c378d1c939f5,454,40,3.9,8.81
7c67e1448b00f6e969d365cea6b010ab,1375,121,3.35,8.8
a3e9a2c700480d9bb01fba070ba80a0e,148,13,4.01,8.78
1835b56ce799e6a4dc4eddc053f04066,560,49,3.59,8.75
23613d49c3ac2bd302259e55c06c050c,80,7,3.66,8.75
f84fa566034f5e8e880a07ec624c56af,103,9,4.27,8.74
d13e50eaa47b4cbe9eb81465865d8cfc,69,6,4.81,8.7
77530e9772f57a62c906e1c21538ab82,392,34,4.05,8.67
ececbfcff9804a2d6b40f589df8eef2b,105,9,4.12,8.57
aac29b1b99776be73c3049939652091d,140,12,3.94,8.57
8648b1e89e9b349e32d3741b30ec737e,105,9,4.04,8.57
7d76b645482be4a332374e8223836592,187,16,3.93,8.56
8b321bb669392f5163d04c59e235e066,1018,87,4.0,8.55
fe2032dab1a61af8794248c8196565c9,306,26,4.38,8.5
cfb1a033743668a192316f3c6d1d2671,189,16,3.93,8.47
5d0363b33554b373851fc1622e4d5f3c,95,8,4.05,8.42
4c2b230173bb36f9b240f2b8ac11786e,347,29,3.76,8.36
ce7d1888639e6fb06b2749cbfdac1ff7,84,7,4.11,8.33
522620dcb18a6b31cd7bdf73665113a9,180,15,3.9,8.33
ea8482cd71df3c1969d7b9473ff13abc,1204,100,3.95,8.31
1336efc61c316ddf92c899eb817f7cae,85,7,3.94,8.24
620c87c171fb2a6dd6e8bb4dec959fc6,804,66,4.22,8.21
17f51e7198701186712e53a39c564617,61,5,4.34,8.2
76d5af76d0271110f9af36c92573f765,159,13,4.08,8.18
218d46b86c1881d022bce9c68a7d4b15,429,35,4.14,8.16
f27e33c6d29b5138fa9967bcd445b6d5,98,8,4.09,8.16
1d8dbc4f32378d715c717c1c1fc57bae,98,8,3.9,8.16
b14db04aa7881970e83ffa9426897925,111,9,3.76,8.11
3b15288545f8928d3e65a8f949a28291,124,10,3.85,8.06
391fc6631aebcf3004804e51b40bcf1e,627,50,3.95,7.97
37515688008a7a40ac93e3b2e4ab203f,240,19,4.08,7.92
ef506c96320abeedfb894c34db06f478,341,27,3.9,7.92
8581055ce74af1daba164fdbd55a40de,443,35,4.23,7.9
7ddcbb64b5bc1ef36ca8c151f6ec77df,344,27,3.9,7.85
729f06993dac8e860d4f02d7088ca48a,115,9,4.29,7.83
715bbd5ba4e6b74cb0d2f29eb45058b0,64,5,4.47,7.81
16090f2ca825584b5a147ab24aa30c86,410,32,4.04,7.8
1f50f920176fa81dab994f9023523100,1940,151,3.98,7.78
7681ef142fd2c19048da7430856b5588,78,6,4.13,7.69
9646c3513289980f17226a2fc4720dbd,78,6,4.26,7.69
058fd0aa2bfdb2274e05e1ae971dabb6,65,5,4.38,7.69
cbd996ad3c1b7dc71fd0e5f5df9087e2,196,15,4.08,7.65
9c0e69c7bf2619675bbadf47b43f655a,210,16,4.0,7.62
6f892e20a171e98efe17fdb971ff319b,53,4,3.73,7.55
8e8a7ce9f2f970dc00e2acf6f6e199f6,67,5,4.0,7.46
ce248b21cb2adc36282ede306b7660e5,67,5,4.21,7.46
04308b1ee57b6625f47df1d56f00eedf,94,7,3.88,7.45
6a8b085f816a1f75f92dbac6eb545f8f,136,10,4.12,7.35
54a1852d1b8f10312c55e906355666ee,205,15,4.34,7.32
624f4ece8da4aafb77699233d480f8ef,55,4,4.19,7.27
a420f60ff1aa9acc80d0e42959f2b313,69,5,3.93,7.25
f262cbc1c910c83959f849465454ddd3,208,15,4.09,7.21
213b25e6f54661939f11710a6fddb871,195,14,3.79,7.18
e59aa562b9f8076dd550fcddf0e73491,84,6,4.25,7.14
6860153b69cc696d5dcfe1cdaaafcf62,84,6,4.16,7.14
c9c7905cffc4ef9ff9f113554423e671,140,10,4.16,7.14
e24fc9fcd865784fb25705606fe3dfe7,56,4,4.2,7.14
70c27847eca8195c983ed7e798c56743,98,7,4.2,7.14
ef0ace09169ac090589d85746e3e036f,141,10,4.34,7.09
e5a38146df062edaf55c38afa99e42dc,127,9,3.95,7.09
17e34d8224d27a541263c4c64b11a56b,268,19,4.14,7.09
d673a59aac7a70d8b01e6902bf090a11,85,6,3.98,7.06
c8b0e2b0a7095e5d8219575d5e7e1181,85,6,4.05,7.06
66922902710d126a0e7d26b0e3805106,156,11,4.45,7.05
7040e82f899a04d1b434b795a43b4617,228,16,3.53,7.02
c826c40d7b19f62a09e2d7c5e7295ee2,373,26,4.04,6.97
6fc26fe110feebd80a433e1f012a84f9,72,5,4.01,6.94
7142540dd4c91e2237acb7e911c4eba2,334,23,4.04,6.89
edb1ef5e36e0c8cd84eb3c9b003e486d,175,12,4.43,6.86
004c9cd9d87a3c30c522c48c4fc07416,176,12,4.13,6.82
f214d28e8d8e3ef068748498ccc2f813,59,4,4.02,6.78
f7ccf836d21b2fb1de37564105216cc1,74,5,3.82,6.76
bd0389da23d89b726abf911cccc54596,90,6,4.2,6.67
de23c3b98a88888289c6f5cc1209054a,181,12,4.28,6.63
48436dade18ac8b2bce089ec2a041202,151,10,4.05,6.62
dc4a0fc896dc34b0d5bfec8438291c80,258,17,3.74,6.59
1025f0e2d44d7041d6cf58b6550e0bfa,1443,95,3.85,6.58
e067ad2c1c0b48758eb1b5228bcf7a68,61,4,4.13,6.56
f5a590cf36251cf1162ea35bef76fe84,122,8,4.24,6.56
aba1721a889e04decc910aa13b768ef4,92,6,4.46,6.52
f45122a9ab94eb4f3f8953578bc0c560,200,13,3.91,6.5
d6b1ce66b035a475f00c017792ff9769,108,7,4.17,6.48
8a130737016f838139d31878787a39c9,62,4,4.35,6.45
1900267e848ceeba8fa32d80c1a5f5a8,532,34,3.85,6.39
7e3f87d16fb353f408d467e74fbd8014,94,6,4.13,6.38
00ee68308b45bc5e2660cd833c3f81cc,173,11,4.33,6.36
da8622b14eb17ae2831f4ac5b9dab84a,1574,100,4.07,6.35
4a3ccda38b2129705f3fb522db62ca31,79,5,3.73,6.33
955fee9216a65b617aa5c0531780ce60,1501,95,4.05,6.33
4371b634e0efc0e22b09b52907d9d469,112,7,4.41,6.25
f80edd2c5aaa505cc4b0a3b219abf4b8,128,8,4.08,6.25
6d66611d7c44cc30ce351abc49a68421,176,11,3.91,6.25
ccc4bbb5f32a6ab2b7066a4130f114e3,192,12,4.28,6.25
96493fab2fbb13a14d0c0e8772eef5c3,64,4,4.03,6.25
d05ae8f7a5bd1d2a690a44cd079e4e27,81,5,3.79,6.17
e9779976487b77c6d4ac45f75ec7afe9,751,46,4.17,6.13
